YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,BP10,854,421
2023-02,WEEKDAY,7,TRAIN,BP10,10425,2208
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4104,4500
2023-02,WEEKDAY,15,TRAIN,NE10,16069,10808
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1434,1676
2023-02,WEEKDAY,18,TRAIN,EW22,21567,13031
2023-02,WEEKDAY,15,TRAIN,CC25,3822,3114
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,CC25,1642,1315
2023-02,WEEKDAY,12,TRAIN,CE1/DT16,9471,18990
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,4726,11827
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1455,547
2023-02,WEEKDAY,10,TRAIN,SW6,2499,1026
2023-02,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2347,2511
2023-02,WEEKDAY,17,TRAIN,DT31,7357,10231
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1631,1995
2023-02,WEEKDAY,15,TRAIN,CC14,8098,5960
2023-02,WEEKDAY,22,TRAIN,NS28,447,194
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,NS28,208,105
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,7,75
2023-02,WEEKDAY,0,TRAIN,DT10/TE11,34,162
2023-02,WEEKDAY,10,TRAIN,EW16/NE3/TE17,14784,21913
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,4511,5072
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2096,1004
2023-02,WEEKDAY,9,TRAIN,CC14,5579,4200
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,EW27,12460,12790
2023-02,WEEKDAY,14,TRAIN,EW27,20908,26466
2023-02,WEEKDAY,0,TRAIN,NS27/CE2/TE20,20,85
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,4,53
2023-02,WEEKDAY,18,TRAIN,DT27,20358,8857
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,DT27,2306,1898
2023-02,WEEKDAY,11,TRAIN,NS7,9163,7234
